Classification,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Little AAFS (4-8) Membership",1,1,2,2,2,1,1,0,0,0,0,0,1,1,2,1,0,3,1,9,1,2,2,1,7,3,3,0,0,0,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young Adult (13-17) Membership",3,3,9,4,0,4,4,2,3,2,4,0,2,6,3,6,2,4,4,6,4,4,6,3,8,6,3,0,0,0,5,10,3,0,1,5,4,2,3,0,3,4,7,0,1,15,10,9,7,6,2,23,25,10,4,7,6,3,1,6,6,9,5,8,4,10,9,4,6,4,4,5,12,2,6,5,4,5,3,5,5,6,0
"Adults (18+) Membership",1,1,2,2,2,0,1,6,7,2,1,1,1,4,2,0,3,4,4,6,1,3,1,2,4,3,1,0,1,0,6,8,1,1,0,2,1,0,0,0,4,0,1,1,0,17,6,7,2,4,6,7,22,3,5,3,5,2,0,3,7,5,4,4,3,6,5,2,5,3,3,3,3,2,8,2,6,1,2,0,0,8,1
"Youth (9-12) Membership",1,1,3,3,5,4,8,1,3,1,0,1,2,3,7,5,3,4,3,7,6,5,4,3,4,8,4,0,0,2,8,4,2,1,2,2,7,2,0,1,1,7,9,1,1,16,7,7,12,7,8,36,28,6,6,6,6,3,0,10,11,10,10,5,7,10,7,4,3,4,1,6,22,16,15,3,3,2,5,2,2,14,4
"Little AAFS (4-9) Membership",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,3,1,9,1,1,5,6,1,6,8,11,18,33,7,11,6,7,2,0,8,10,8,7,15,7,14,13,5,5,10,6,9,26,11,16,10,4,2,11,9,2,10,6
"Youth (9-16) Membership",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little AAFS Membership",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young Adult (16-18) Membership",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Community Partner Membership",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Unclassified Data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
